121,78,0,0,CENTER,0,TOUCH
185,70,64,-8,EAST,-7.125017,SWIPE
223,68,38,-2,EAST,-3.012788,SWIPE
251,68,28,0,EAST,0,SWIPE
275,70,24,2,EAST,4.763642,SWIPE
295,78,20,8,EAST,21.80141,SWIPE
309,88,14,10,NORTHEAST,35.53768,SWIPE
319,100,10,12,NORTHEAST,50.19443,SWIPE
323,112,4,12,NORTH,71.56505,SWIPE
325,118,2,6,NORTH,71.56505,SWIPE
325,118,0,0,NORTH,71.56505,SWIPE
325,118,0,0,NORTH,71.56505,SWIPE
325,118,0,0,NORTH,71.56505,SWIPE
325,118,0,0,NORTH,71.56505,SWIPE
325,118,0,0,NORTH,71.56505,SWIPE
323,124,-2,6,NORTH,108.435,SWIPE
